anoun,adjective
myriad,Myriad
new,New
Nazarite,Nazarite
mariner,Maritime
newly founded,Newly founded
minor,Minor
legalities,Legal
alien,Alien
withered,Withered
of wood,Wooden
polished,Polished
household member,Domestic
home-born,Home-born
skyward,Skyward
all,All
old,Old
of all sorts,Varied
stimulating,Stimulating
coastal,Coastal
acting contrary to law,Illegitimate
resident,Resident
belonging to one's father,
paternal,Paternal
on foot,Pedestrian
on foot,Pedestrian
five thousand,Five thousand
five hundred,Five hundred
remaining,Remaining
neighbor,Neighborly
throwing stones,Stone-throwing
faithful,Faithful
full,Full
more,More
rich,Rich
various,Various
belonging to war,Martial
much,Much
much,Much
costly,Costly
harmful,Harmful
harmful,Harmful
gentle,Gentle
senior,Senior
like a saw,Saw-like
forerunner,Forerunner
earlier,Earlier
reproachfully accusing,Reproachful
of iron,Iron
warped,Warped
dark,Dark
carnelian,Carnelian
wise,Wise
wise,Wise
stout,Stout
relative,Relative
commingled,Commingled
rear,Rear
co-worker,Co-working
comprehending,Comprehending
comprehending,Comprehending
safe,Safe
wretched,Wretched
humble,Humble
humble,Humble
four thousand,Four thousand
four hundred,Four hundred
with four surfaces,Multisurfaced
nursing,Nursing
precious,Precious
cut,Cut
such,Such
third,Third
three,Three
three hundred,Three hundred
threefold,Threefold
three thousand,Three thousand
blind,Blind
blind,Blind
friend,Friendly
foul,Foul
prudent,Prudent
of brass,Brass
thousand,Thousand
serviceable,Serviceable
Anointed,Anointed
of gold,Golden
lame,Lame
formed of cast metal,Cast metal
psalm singer,Psalm-singing
ΛΆΘΟΣ,Erroneous
good,Good
good,Good
loved,Loved
belonging to a herd,Herding
unknown,Unknown
injurious,Injurious
impossible,Impossible
unleavened,Unleavened
unfounded,Unfounded
in crowds,Crowded
guiltless,Guiltless
blameless,Blameless
waveless,Waveless
truthful,Truthful
sinning,Sinful
using a strange tongue,
another's,
foreigner,
speaking a foreign language,Foreign-speaking
like a grove,Grove-like
absurd,Absurd
unspeakable,Unspeakable
taking in on all sides,Encompassing
double-sided rug,Double-sided
both,Both
flawless,Flawless
sinless,Sinless
crippled,Crippled
innumerable,Innumerable
for a man,Manly
merciless,Merciless
without pity,Pityless
unconquered,Unconquered
wrestling against,Wrestling
barefoot,Barefoot
lawless,Lawless
worthy,Worthy
uninhabited,Uninhabited
invisible,Invisible
unhewn,Unhewn
uncircumcised,Uncircumcised
unharmed,Unharmed
hidden away,Hidden
without stumbling,Steady
of silver,Silvery
purchased with silver,Purchased
not liable to decay,Decay-resistant
without roof,Rooftopless
secure,Secure
not disturbed,Undisturbed
without fear,Fearless
voiceless,Voiceless
holy,Holy
thick,Thick
sinful,Sinful
sinful,Sinful
tender,Tender
unknown,Unknown
senseless,Senseless
all at once,Simultaneous
ventriloquizing,Ventriloquizing
descendant,Descendant
select,Select
select,Select
inferior,Inferior
of the fir,Fir-like
beaten,Beaten
free,Free
ivory,Ivory
in madness,Mad
mine,Mine
nine thousand,Nine thousand
glorious,Glorious
of a year,Yearly
in-dwelling: an inhabitant,In-dwelling
valued,Valued
in the face,Faced
liable,Liable
plotting against,Plotting
in want of,Wanting
cravings,Craving
in fit time,Timely
choice,Choice
remaining time,Remaining
expert,Expert
reproached,Reproached
last,Last
six thousand,Six thousand
six hundred,Six hundred
seven thousand,Seven thousand
700,Seven hundred
different,Different
ready,Ready
our own,Our own
his own,His own
like a star,Star-like
sharing equally,Equal-sharing
forceful,Forceful
forceful,Forceful
sacred,Sacred
adequate,Adequate
equal,Equal
lazy,Lazy
eight thousand,Eight thousand
800,Eight hundred
few,Few
fewest,Fewest
notable,Notable
sharp,Sharp
upright,Upright
orphaned,Orphaned
of clay,Clayey
firm,Firm
firm,Firm
of the same people,Same-race
agreeing,Agreeing
sharing in the drink-offering,Drink-offering
of the same race,
having the same borders with,Bordering
responsible,Responsible
contrary,Contrary
proud,Proud
under the hand,Underhanded
high,High
attractive,Attractive
spotted,Spotted
spotted,Spotted
new,New
predisposed,Predisposed
wise,Wise
valued,Valued
forceful,Forceful
captive,Captive
eternal,Eternal
self-sufficient,Self-sufficient
automatically,Automatic
foreigner,Foreign
deep,Deep
weighty,Weighty
regal,Regal
regal,Regal
little,Little
eaten,Eaten
fine linen,Fine linen
sucking,Sucking
sweet,Sweet
carved,Carved
carved,Carved
known,Known
known,Known
naked,Naked
womanly,Womanly
tenth,Tenth
right,Right
shaggy,Shaggy
fearful,Fearful
right,Right
right,Right
speckled,Speckled
transcendent,Transcendent
two hundred,Two hundred
twofold,Twofold
double,Double
two thousand,Two thousand
two-storied,Two-storied
bearing a scythe,Scythe-bearing
possible,Possible
cunning,Cunning
puritanical,Puritanical
peaceful,Peaceful
straight,Straight
straightforward,Straightforward
with fine purple border,Purple-bordered
easy of address,Easy-going
reverent,Reverent
well-based,Well-based
easily paid for,Affordable
well-named,Well-named
easily broken,Easily broken
wonderful,Wonderful
wonderful,Wonderful
wonderful,Wonderful
foundation,Foundational
divine,Divine
dead body,Dead
of cedar,Cedar
adulterated,Adulterated
clean,Clean
innovative,Innovative
bad,Bad
ill-disposed,Ill-disposed
fine,Fine
fine,Fine
fine,Fine
ground-floor,Ground-floor
in the mind,Mindful
hollow,Hollow
common,Common
hung,Hung
tasselled,Tasselled
secret,Secret
just the one,Sole
of cypress-wood,Cypress-wood
mute,Mute
mute,Mute
scarlet,Scarlet
lord,Lordly
stone,Stony
functional,Functional
functional,Functional
thin,Thin
white,White
smooth,Smooth
of a stone carver,Stone-carving
linen,Linen
finally,Final
rest,Restful
superficial,Superficial
in the midst,Medial
like madness,Mad-like
great,Great
magnificent,Magnificent
magnificent,Magnificent
mixed with purple,Purple-mixed
hateful,Hateful
musician,Musical
aromatic,Aromatic
stupid,Stupid
stupid,Stupid
myriad,Myriad
new,New
minor,Minor
minor,Minor
newborn,Newborn
newly sprouted,Newly sprouted
legalities,Legal
legalities,Legal
of wood,Wooden
of wood,Wooden
household member,Household
kind that,Kind
all,All
rich,Rich
old,Old
old,Old
of every kind,All kinds
of all sorts,Varied
acting contrary to law,Illegal
of a virgin,Virgin
for mourning,Mourning
five thousand,Five thousand
five hundred,Five hundred
neighbor,Neighborly
surrounding territory,Surrounding
edged with purple,Purple-edged
dry and hard all round,Hard-dry
overflowing,Overflowing
overflowing,Overflowing
overflowing,Overflowing
moving round,Rotating
from pine,Pine-like
bitter,Bitter
faithful,Faithful
sideways,Sideways
more,More
various,Various
embroidered,Embroidered
embroidered,Embroidered
of a shepherd,Shepherd-like
of battle,
of battle,Battle-ready
many times over,Repeated
harmful,Harmful
harmful,Harmful
drunk,Drunken
earlier,Earlier
first-born,Firstborn
firstborn,Firstborn
firstborn,Firstborn
earlier,Earlier
winged,Winged
giving forth fire,
fiery red,Fiery
dignified,Dignified
fattened,Fattened
hard,Hard
hard,Hard
warped,Warped
dark,Dark
gloomy,Gloomy
ashy,Ashy
punctured,Punctured
flexible,Flexible
equal age,Equal-aged
comprehending,Comprehending
your,Your
safe,Safe
four,Four
precious,Precious
humble,Humble
humble,Humble
quick,Quick
practised,Practiced
complete,Complete
four-cornered,Four-cornered
quadruped,Quadrupedal
four hundred,Four-hundred
quadripartite,Quadripartite
such,Such
such,Such
worked in relief,Relief-worked
quality,Qualitative
three hundred,Three-hundred
three thousand,Three-thousand
three-storied,Three-storied
delicate,Delicate
exposed,Exposed
foul,Foul
loving mankind,Philanthropic
fond of children,Child-loving
shuddered at,Shuddering
thousand,Thousand
of brass,Brass
handmade,Handmade
green,Green
serviceable,Serviceable
suitable,Suitable
like gold,Gold-like
of gold,Golden
lame,Lame
formed of cast metal,Cast-metal
ΛΆΘΟΣ,Erroneous
good,Good
unclean,Unclean
thorny,Thorny
heard,Heard
heard,Heard
following,Following
of another family,Familial
another's,Another's
foreigner,Foreign
like a grove,Grove-like
both,Both
unworthy,Unworthy
must be taken up,Required
innumerable,Innumerable
blasted by gales,Gale-blasted
untraceable,Untraceable
human,Human
opposed,Opposed
face to face,Face-to-face
irresponsible,Irresponsible
unhewn,Unhewn
uncircumcised,Uncircumcised
hidden away,Hidden
remaining over,Remaining
forbidden,Forbidden
of silver,Silvery
inactive,Inactive
accommodating,Accommodating
accommodating,Accommodating
left,Left
left,Left
of juniper,Juniper-like
male,Male
male,Male
infirm,Infirm
not disturbed,Undisturbed
ungracious,Ungracious
pure,Pure
wrought in chain manner,Chain-wrought
unclear,Unclear
injurious,Injurious
unleavened,Unleavened
top,Top
flawless,Flawless
lawless,Lawless
male,Male
not liable to decay,Decay-resistant
dishonored,Dishonored
out of place,Out-of-place
uncorrupt,Uncorrupt
all at once,Simultaneous
internal organs,Internal
select,Select
select,Select
beaten,Beaten
mine,Mine
straitened,Straightened
900,Nine-hundred
extraordinary,Extraordinary
choice,Choice
choice,Choice
remaining time,Remaining
attractive,Attractive
one in ten,One-in-ten
cravings,Craving
of victory,Victorious
necessities,Necessary
bruised pounded,Bruised
red,Red
voluntary,Voluntary
curved,Curved
Greek,Greek
six hundred,Six-hundred
700,Seven-hundred
sevenfold,Sevenfold
sevenfold,Sevenfold
possessed,Possessed
glorious,Glorious
glorious,Glorious
with water in it,Watery
special,Special
last,Last
seventh,Seventh
each,Each
different,Different
Greek,Greek
our own,Our own
tame,Tame
for a private person,Private
forceful,Forceful
forceful,Forceful
forceful,Forceful
equal to the gods,God-like
sacred,Sacred
sacred,Sacred
adequate,Adequate
his own,His own
lazy,Lazy
eight thousand,Eight-thousand
800,Eight-hundred
few,Few
hinder,Hindering
broiled,Broiled
upright,Upright
upright,Upright
of clay,Clayey
firm,Firm
responsible,Responsible
like,Like
having the same borders with,Bordering
as much as,Equivalent
responsible,Responsible
hyacinth blue,Hyacinth-blue
swollen,Swollen
exceedingly difficult,Difficult
woven,Woven
high,High
belonging to swine,Swine-like
laid back,Laid-back
attractive,Attractive
spotted,Spotted
stitched,Stitched
patched,Patched
ventilated,Ventilated
filthy,Filthy
deep,Deep
weighty,Weighty
possible,Possible
long,Long
precious,Precious
fierce,Fierce
good,Good
inner,Inner
better,Better
fine,Fine
lower,Lower
superior,Superior
much,Much
first,First
bad,Bad
above,Above
innermost,Innermost
hostile,Hostile
Egyptian,Egyptian
Hebrew,Hebrew
Israelite,Israelite
Moabite,Moabite
Chaldaikos,Chaldaic
unexpected,Unexpected
eternal,Eternal
eternal,Eternal
deep,Deep
weighty,Weighty
regal,Regal
firm,Firm
violent,Violent
little,Little
fine linen,Fine linen
belonging to one's birth,Birth-related
dark,Dark
well-known,Well-known
naked,Naked
womanly,Womanly
two-edged,Two-edged
abundant,Abundant
in the evening,Evening
fearful,Fearful
tithe,Tithing
acceptable,Acceptable
acceptable,Acceptable
right,Right
right,Right
leather,Leather
second,Second
right,Right
two thousand,Two-thousand
cunning,Cunning
glorious,Glorious
captive of the spear,Spear-captive
most miserable,Miserable
hard to escape,Hard-to-escape
ungodly,Ungodly
affable,Affable
straight,Straight
in good cheer,Cheerful
fit,Fit
well shaded,Shaded
enviable,Enviable
hot,Hot
female,Female
of,Of (context-dependent)
lethal,Lethal
wonderful,Wonderful
divine,Divine
clean,Clean
daily,Daily
innovative,Innovative
innovative,Innovative
bad,Bad
using bad arts,Malicious
bad,Bad
fine,Fine
made of reed,Reed-made
fine,Fine
fruit-bearing,Fruit-bearing
of walnut,Walnut-like
tired,Tired
irrigated,Irrigated
ridiculous,Ridiculous
quite,Quite
of cedar,Cedar-like
hollow,Hollow
hollow,Hollow
invited,Invited
hold,Holding
common,Common
dominant,Dominant
dominant,Dominant
secret,Secret
hewn,Hewn
thin,Thin
white,White
white,White
stone,Stony
linen,Linen
pestilence,Pestilent
finally,Final
painful,Painful
in the midst,Medial
one,One
superficial,Superficial
great,Great
boasting,Boasting
singing,Singing
little,Little
little,Little
only,Only
only child,Only-child
wet with unguent,Unguent-wet
only,Only
new,New
alien,Alien
withered,Withered
withered,Withered
sword in hand,Sword-bearing
of wood,Wooden
inhabited,Inhabited
no one,No-one
whole community,Communal
all-mingled,Mingled
crafty,Crafty
absolute,Absolute
by the seaside,Seaside
coastal,Coastal
paternal,Paternal
paternal,Paternal
flat,Flat
flat,Flat
five thousand,Five-thousand
fifteenth,Fifteenth
fiftieth,Fiftieth
neighbor,Neighborly
surrounding territory,Surrounding
bitter,Bitter
faithful,Faithful
full,Full
broad,Broad
floating,Floating
various,Various
embroidered,Embroidered
belonging to war,War-related
much,Much
much,Much
many-headed,Many-headed
costly,Costly
much-tangled,Tangled
harmful,Harmful
harmful,Harmful
gone over,Overgone
sold,Sold
sheepish,Sheepish
ancestral,Ancestral
morning,Morning
early,Early
beetling,Beetling
seasonal,Seasonal
fresh,Fresh
fiery red,Fiery
fire-breathing,Fire-breathing
all,All
your,Your
made of flesh,Flesh-made
dignified,Dignified
dark,Dark
wise,Wise
wise,Wise
narrow,Narrow
solid,Solid
solid,Solid
flexible,Flexible
round,Round
hated,Hated
made of storax,Storax-made
Sorekh,Sorekh
all together,Together
happening with,Happening
your,Your
wretched,Wretched
complete,Complete
fourteenth,Fourteenth
fourth,Fourth
such,Such
worked in relief,Relief-worked
third,Third
rough,Rough
thirteenth,Thirteenth
three thousand,Three-thousand
made of hair,Hair-made
exposed,Exposed
loving mankind,Philanthropic
blazing,Blazing
fearful,Fearful
that causes shuddering,Shuddering
prudent,Prudent
of brass,Brass
worse,Worse
thousand,Thousand
green,Green
of grass,Grass-like
of gold,Golden
metal-caster,Metal-casting
ΛΆΘΟΣ,Erroneous
bare,Bare
good,Good
good,Good
wild,Wild
wild,Wild
unswerving,Unswerving
ever-flowing,Ever-flowing
faithlessness,Faithless
ingenuous,Ingenuous
untameable,Untameable
unconquerable,Unconquerable
without fame,Nameless
heard,Heard
cut off sharp,Sharp-cut
truthful,Truthful
truthful,Truthful
ΣΩΣΤΌ,Correct
another's,Another's
not yet engaged,Unengaged
endless,Endless
unconquered,Unconquered
compulsory,Compulsory
shameless,Shameless
for a man,Male
irresponsible,Irresponsible
opponent,Opponent
not/without play-acting,Authentic
above,Above
worthy,Worthy
interminable,Interminable
not to be moved by prayer,Unmovable
free from interference,
unnoticed,Unnoticed
unexpected,Unexpected
cut off,Cut-off
of silver,Silvery
left,Left
left,Left
original,Original
not of iron,Iron-free
unsteady,Unsteady
urbane,Urbane
lewd,Lewd
indecent,Indecent
unhonoured,Unhonored
not subjected to tribute,Tribute-free
unlying,Unlying
holy,Holy
pure,Pure
salty,Salty
tender,Tender
fitting,Fitting
untrodden,Untrodden
at the furthest point,Furthest
faultless,Faultless
mindlessness,Mindless
favorite slave,Favorite
all at once,Simultaneous
ventriloquizing,Ventriloquizing
circular,Circular
select,Select
select,Select
intense,Intense
free,Free
mine,Mine
mine,Mine
of a year,Yearly
outer,Outer
bent over,Bent-over
remaining time,Remaining
laborious,Laborious
painful,Painful
notorious,Notorious
pleasing,Pleasing
celestial,Celestial
red,Red
red,Red
last,Last
seventh,Seventh
each,Each
seven thousand,Seven-thousand
towards evening,Evening
different,Different
ready,Ready
early,Early
wearied,Wearied
possessed,Possessed
evident,Evident
out of law,Lawless
selected to judge,Judicial
glorious,Glorious
still in the night,Nocturnal
special,Special
sixth,Sixth
Greek,Greek
our own,Our own
tame,Tame
his own,His own
forceful,Forceful
forceful,Forceful
fishy,Fishy
for the priest's office,Priestly
sacred,Sacred
adequate,Adequate
painful,Painful
bringing destruction,Destructive
sharp,Sharp
firm,Firm
firm,Firm
whole,Whole
intact,Intact
like,Like
of like experience,Like-minded
of one mind,Unified
whole,Whole
your,Your
under the hand,Underhanded
under the earth,Subterranean
high,High
high,High
under a husband,Wifely
attractive,Attractive
bearing roses,Rose-bearing
new,New
thick,Thick
longed for,Longed-for
senior,Senior
earlier,Earlier
fierce,Fierce
inner,Inner
fine,Fine
great,Great
magnificent,Magnificent
pitiable,Pitiable
much,Much
first,First
quick,Quick
inner,Inner
latter,Latter
bashful,Bashful
discomfort,Discomforting
praiseworthy,Praiseworthy
captive,Captive
that may be taken,Taken
cause,
of deep voice,Deep-voiced
obscure of speech,Obscure
deep-voiced,Deep-voiced
grievous of tongue,Grievous
weighty,Weighty
kind of serpent,Serpent-like
regal,Regal
better,Better
hurtful,Hurtful
of short performance,Short-performing
little,Little
sucking,Sucking
for marriage,Marital
ridiculous,Ridiculous
old,Old
discharge,Discharged
naked,Naked
naked,Naked
at the angle,Angled
prisoner,Prisoner
prisoner,Prisoner
belonging to the people,Communal
speaking two languages,Bilingual
right,Right
of a verse having two meters,Dual-metrical
right,Right
right,Right
red-hot,Red-hot
diaphanous,Diaphanous
two years old,Two-year-old
granted,Granted
possible,Possible
infamous,Infamous
full of ill-will,Ill-willed
twelfth,Twelfth
cunning,Cunning
glorified,Glorified
stone-deaf,Stone-deaf
clear,Clear
peaceful,Peaceful
noble,Noble
easily appeased,Easily-appeased
easy to be despised,Despised
of a good length,Lengthy
well-grown,Well-grown
opportune,Opportune
easier,Easier
rhythmical,Rhythmical
full of life,Lively
wonderful,Wonderful
of summer,Summery
hot,Hot
sulfur,Sulfurous
mortal,Mortal
bold,Bold
female,Female
innovative,Innovative
bad,Bad
fine,Fine
reaching the wrist,Wrist-reaching
made of tin,Tin-made
weary,Weary
accursed,Accursed
hollow,Hollow
tasselled,Tasselled
secret,Secret
secret,Secret
mute,Mute
mute,Mute
radiant,Radiant
leprous,Leprous
leprous,Leprous
frivolous,Frivolous
linen,Linen
pestilence,Pestilent
pestilence,Pestilent
superficial,Superficial
great,Great
in the midst,Medial
within measure,Measured
hired,Hired
blessed,Blessed
blessed,Blessed
long,Long
great,Great
great,Great
raised from the ground,Elevated
not even one,None
blood-stained,Blood-stained
hateful,Hateful
hating knaves,Hating
stupid,Stupid
stable,Stable
minor,Minor
alien,Alien
household member,Household
inhabited,Inhabited
pitiable,Pitiable
pitiable,Pitiable
cup-bearer,Cup-bearing
no one,No
skyward,Skyward
all-dreadful,Dreadful
belonging to one's father,Paternal
fifth,Fifth
all-powerful,All-powerful
old,Old
acting contrary to law,Unlawful
paternal,Paternal
paternal,Paternal
encircled by a colonnade,Colonnaded
complementary,Complementary
faithful,Faithful
faithful,Faithful
much,Much
numerous,Numerous
numerous,Numerous
feet,Footed
belonging to war,War-related
with many tears,Tearful
much,Much
much,Much
gentle,Gentle
prone,Prone
dear,Dear
first-formed,First-formed
firstborn,Firstborn
early,Early
first-beginning,Initial
gentle,Gentle
flaming with fire,Fiery
fiery red,Fiery
drinking bout,Drinking
made of flesh,Flesh-made
of iron,Iron-made
fattened,Fattened
stiff-necked,Stiff-necked
hard,Hard
wise,Wise
wise,Wise
rare,Rare
grain field,Grainy
co-worker,Co-working
comprehending,Comprehending
comprehending,Comprehending
vehement,Vehement
commensurate with,Commensurate
commingled,Commingled
all together,Unified
sensible,Sensible
safe,Safe
quickest,Quickest
precious,Precious
arranged,Arranged
humble,Humble
quick,Quick
quick,Quick
such,Such
as much,Equivalent
on the contrary,Contrary
with three teeth,Tri-toothed
worked by a wheel,Wheel-worked
blind,Blind
friend,Friendly
exposed,Exposed
exposed,Exposed
shunned,Shunned
prudent,Prudent
fierce,Fierce
of brass,Brass
for thanksgiving,Thankful
of winter,Wintry
green,Green
Anointed,Anointed
of gold,Golden
gold,Golden
of gold,Golden
formed of cast metal,Cast-metal
whispering: slanderous,Slanderous
perpetual,Perpetual
without harm,Harmless
high-minded,High-minded
good,Good
loved,Loved
loved,Loved
adamantine,Adamantine
impossible,Impossible
guiltless,Guiltless
guiltless,Guiltless
wanting the heart,Heart-wanting
unswerving,Unswerving
heard,Heard
against the will,Willful
against the will,Willful
pinnacle,Pinnacle
sinning,Sinful
unreasoning,Unreasoning
without means,Resource-less
untainted,Untainted
without parts,Impartial
ambidextrous,Ambidextrous
not to be healed,Unhealable
incurable,Incurable
compulsory,Compulsory
sinless,Sinless
like an effeminate man,Effeminate
opposed,Opposed
face to face,Face-to-face
full of caves,Cave-filled
not to be withstood,Unwithstandable
useless,Useless
sung of,Sung
unharmed,Unharmed
undisciplined,Undisciplined
hateful,Hateful
purchased with silver,Silver-purchased
made by a baker,Baker-made
original,Original
irreverent,Irreverent
unhurt,Unhurt
uncomprehending,Uncomprehending
unwounded,Unwounded
intolerable,Intolerable
pure,Pure
sinful,Sinful
wild,Wild
unleavened,Unleavened
blameless,Blameless
without order,Disordered
absurd,Absurd
lawless,Lawless
worthy,Worthy
doing nothing,Idle
male,Male
sick,Sick
unremarkable,Unremarkable
not liable to decay,Decay-free
safe from violence,Safe
disorderly,Disorderly
childless,Childless
dishonored,Dishonored
unwounded,Unwounded
senseless,Senseless
unsuitable,Unsuitable
banished,Banished
select,Select
inferior,Inferior
merciful,Merciful
ivory,Ivory
free,Free
one who sets on fire,Fiery
mine,Mine
virtuous,Virtuous
new,New
taken out,Extracted
getting under arms,Armed
plotting against,Conspiring
caught,Caught
fair,Fair
in danger,Dangerous
profitable,Profitable
at the mill,Mill-bound
annual,Annual
hundredfold,Hundredfold
voluntary,Voluntary
seven years old,Seven-year-old
boiled,Boiled
guarantee,Guaranteed
having a lot,Abundant
descendant,Descendant
vindicator,Vindicator
given up,Given-up
with the breath in one,Breath-holding
liable,Liable
last,Last
each,Each
sixth,Sixth
one,One
ready,Ready
our own,Our own
tranquil,Tranquil
worse,Worse
forceful,Forceful
forceful,Forceful
lazy,Lazy
destructive,Destructive
fewest,Fewest
morose,Morose
notable,Notable
notable,Notable
sharp,Sharp
mountainous,Mountainous
upright,Upright
orphaned,Orphaned
bitten by a snake,Snake-bitten
wayfarer,Wayfaring
of the same people,Same-raced
born of the same mother,Same-mothered
able to see,Sighted
visible,Visible
visible,Visible
straight up,Upright
late,Late
like,Similar
responsible,Responsible
responsible,Responsible
hyacinth blue,Hyacinth-blue
healthy,Healthy
contrary,Contrary
under the hand,Underhanded
high,High
high,High
highest,Highest
stated,Stated
easy,Easy
austere,Austere
foreigner,Foreign
weighty,Weighty
right,Right
well-strung,Well-strung
dominant,Dominant
new,New
bitter,Bitter
near,Near
senior,Senior
hard,Hard
wise,Wise
vehement,Vehement
fierce,Fierce
rustic,Rustic
inferior,Inferior
glorious,Glorious
clear,Clear
violent,Violent
piece of cloth,Cloth-like
heavy in spirit: indignant,Heavy-hearted
regal,Regal
blasphemous,Blasphemous
little,Little
little,Little
edible,Edible
living in the deep,Deep-dwelling
fine linen,Fine linen
calm,Calm
suitable to one's birth,Birth-suitable
carved,Carved
carved,Carved
with the tongue cut out,Tongue-cut
legitimate,Legitimate
known,Known
womanly,Womanly
abundant,Abundant
in the evening,Evening
in the evening,Evening
fearful,Fearful
acceptable,Acceptable
acceptable,Acceptable
secondary,Secondary
second,Second
speckled,Speckled
transcendent,Transcendent
made in net fashion,Net-made
double,Double
double,Double
possible,Possible
hard to take by siege,Siege-resistant
difficult of access,Difficult
hard to take in hand,Hard-to-handle
peaceful,Peaceful
obedient,Obedient
straight,Straight
straightforward,Straightforward
straight,Straight
spacious,Spacious
well-based,Well-based
easily handled,Easy-to-handle
good-hearted,Good-hearted
easily melted,Easy-to-melt
pleasing,Pleasing
well-suited,Well-suited
leavened,Leavened
leavened,Leavened
wonderful,Wonderful
wonderful,Wonderful
wished for,Wished-for
captured by wild animals,Captive
dead body,Dead
female,Female
more finely,Finely
fruitful,Fruitful
of cedar,Cedar-like
adulterated,Adulterated
at the right place,Well-placed
clean,Clean
clean,Clean
innovative,Innovative
bad,Bad
set with stones,Stone-set
left behind,Left-behind
shadowed,Shadowed
descending,Descending
in the mind,Mental
hollow,Hollow
stolen,Stolen
spun,Spun
with a docked tail,Docked-tailed
hold,Held
light,Light
barley,Barley-like
dominant,Dominant
hung,Hung
more dominant,More-dominant
superior,Superior
like ice,Ice-like
scarlet,Scarlet
servile,Servile
thin,Thin
flagstone,Flagstone-like
shiny,Shiny
finally,Finally
finally,Finally
great,Great
deemed,Deemed
long-lived,Long-lived
magnificent,Magnificent
belonging to noon,Noon-related
louder,Louder
not even one,None
not even one,None
little,Little
spun,Spun
legalities,Legal
withered,Withered
kind that,Kind
kind that,Kind
no one,No
no one,No
no one,No
no one,No
with a fair wind,Fair-winded
